text,urgency_level
"Fever that drops with medicine but returns after 4 hours",soon
"Diarrhea and loose motions 5 times today",soon
"Urinary frequency and lower abdominal ache",soon
"Pain in right lower abdomen for 6 hours",soon
"Fungal infection between toes getting worse",soon
"Unexplained weight loss and fatigue for two weeks",soon
"Joint pain in both hands for a week",soon
"Persistent hoarseness of voice for 10 days",soon
"Painful swelling behind ear",soon
"Burn with blisters on hand",soon
"Constipation for 4 days with discomfort",soon
"Swollen lymph node in neck for 5 days",soon
"Persistent itchiness all over body for a week",soon
"Teen din se bukhar hai aur khaansi hai",soon
"Khaansi mein balgham aa raha hai teen din se",soon
"Peshab mein jalan aur dard hai do din se",soon
"Kaan mein shadeed dard hai aur paani aa raha hai",soon
"Do din se ultiyaan aur dasto ka masla hai",soon
"Paaon mein moch aa gayi hai aur soojam hai",soon
"Zakhm gehra hai stitches chahiye lagta hai",soon
"Ziyada bukhar hai do din se utar nahi raha",soon
"Daant mein shadeed dard hai kal se",soon
"Pet ke daayein hissay mein dard hai",soon
